designation,location,job_count
Senior DevOps Engineer,Bangalore,1
Test Automation Engineer,Noida,1
Senior Development Engineer - III / IV / V (Platform),Bangalore,1
Senior Principal Engineer - Architect,Bangalore,1
UI / UX Lead,Bangalore,1
Java Backend Engineer,Chennai,1
AM - Corporate Development & Strategy,Bangalore,1
Customer Support Associate,Noida,1
QA Engineer,Bangalore,1
IT Recruiter,Pune,1
Senior Backend Developer,Bangalore,1
QA Architect - Automation,Bangalore,1
Teamcenter Consultant,Pune,1
Senior Full Stack Developer,Work From Home,1
Risk Analyst,Bangalore,1
Xamarin Developer,Ahmedabad,1
DevOps Engineer,Work From Home,1
Human Resource Business Manager,Gurgaon,1
Product Manager,Work From Home,1
Test Engineer,Bangalore,1
DevOps Developer,Gurgaon,1
DevOps Manager,Delhi,1
Business Development Executive,Mumbai,1
